year,season,Date,n_windows,p_cells_w_windows,decision,NOPS_PL,county,n_spatial_cells,bd_sens_min,sens_5percent,sens_10percent,sens_20percent,sens_25percent
2018,summer,2018-07-27,0,0,NB,3,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-28,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-29,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-30,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-07-31,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-01,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-02,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-03,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-04,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-05,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-06,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-07,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-08,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-09,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-10,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-11,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-12,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-13,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-14,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-15,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-16,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-17,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-18,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-19,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-20,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-21,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-22,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-23,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-24,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-25,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-26,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-27,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-28,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-29,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-30,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,summer,2018-08-31,0,0,NB,4,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-01,96,0.0736761320030698,NB,1,Plumas,1303,1,1,0,0,0
2018,winter,2018-01-02,66,0.0506523407521105,NB,1,Plumas,1303,1,1,0,0,0
2018,winter,2018-01-03,172,0.132003069838833,B,1,Plumas,1303,1,1,1,0,0
2018,winter,2018-01-04,25,0.0191864927091328,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-01-05,15,0.0115118956254797,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-01-06,5,0.00383729854182655,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-01-07,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-08,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-09,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-10,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-11,1,0.000767459708365311,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-01-12,77,0.0590943975441289,B,1,Plumas,1303,1,1,0,0,0
2018,winter,2018-01-13,298,0.228702993092863,NB,1,Plumas,1303,1,1,1,1,0
2018,winter,2018-01-14,351,0.269378357636224,B,1,Plumas,1303,1,1,1,1,1
2018,winter,2018-01-15,219,0.168073676132003,B,1,Plumas,1303,1,1,1,0,0
2018,winter,2018-01-16,30,0.0230237912509593,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-01-17,139,0.106676899462778,B,1,Plumas,1303,1,1,1,0,0
2018,winter,2018-01-18,4,0.00306983883346124,B,1,Plumas,1303,1,0,0,0,0
2018,winter,2018-01-19,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-20,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-21,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-22,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-23,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-24,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-25,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-26,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-27,0,0,B,1,Plumas,1303,0,0,0,0,0
2018,winter,2018-01-28,163,0.125095932463546,NB,1,Plumas,1303,1,1,1,0,0
2018,winter,2018-01-29,218,0.167306216423638,NB,1,Plumas,1303,1,1,1,0,0
2018,winter,2018-01-30,473,0.363008442056792,B,1,Plumas,1303,1,1,1,1,1
2018,winter,2018-01-31,414,0.317728319263239,B,1,Plumas,1303,1,1,1,1,1
